,Address,Borough,Geocode,Node
845,"250 W65th Street, New York City",Manhattan,"(40.774695, -73.986728)",5481869414
846,"530 W 55th Street, New York City",Manhattan,"(40.76797795, -73.99098732812377)",5481877869
847,"25 Carmine Street, New York City",Manhattan,"(40.730508900000004, -74.00282391080486)",42431773
850,"143 St Nicholas Avenue, New York City",Manhattan,"(40.7050269, -73.9171298)",3630219671
872,"1347 St Nicholas Avenue, New York City",Manhattan,"(40.8470352, -73.935629)",5403873777
873,"120 W 140th Street, New York City",Manhattan,"(40.8176007, -73.9401375)",5378686567
874,"4799 Broadway, New York City",Manhattan,"(40.8484382, -73.9376339)",595473330
875,"233 Dyckman Street, New York City",Manhattan,"(40.8661241, -73.9277122)",1209512055
876,"5030 Broadway, New York City",Manhattan,"(40.8689682, -73.9170558)",42429234
896,"518 West 125 Street, New York City",Manhattan,"(40.813993, -73.956925)",4207752456
963,"506 Lenox Avenue, New York City",Manhattan,"(40.814705950000004, -73.93928034602104)",4205440402
964,"2611 Frederick Douglas Boulevard, New York City",Manhattan,"(40.819488, -73.944606)",5378420476
965,"317 E. 34th Street, New York City",Manhattan,"(40.7446187, -73.974921)",4259273043
970,"1450 Madison Avenue, New York City",Manhattan,"(40.7894903, -73.95287354032763)",6254630413
971,"312 East 94th Street, New York City",Manhattan,"(40.7824428, -73.9471152)",6223611863
978,"120 W 106th Street, New York City",Manhattan,"(40.7994222, -73.96401571632931)",42421737
979,"140 W 106th Street, New York City",Manhattan,"(40.799818849999994, -73.96478540222031)",42421741
980,"1111 Amsterdam Avenue, New York City",Manhattan,"(40.80506735, -73.96151159482741)",1506445711
1014,"742 10th Avenue, New York City",Manhattan,"(40.764938799999996, -73.99122220084857)",42454042
1015,"40 West 20th Street, New York City",Manhattan,"(40.740475, -73.99334649995434)",42427371
1016,"2900 Broadway, New York City",Manhattan,"(40.806112150000004, -73.96471536109439)",7004385799
1017,"444 Amsterdam Avenue, New York City",Manhattan,"(40.784866199999996, -73.97747189773972)",6207264910
1018,"535 West 179th Street, New York City",Manhattan,"(40.8478812, -73.9338507079605)",5403873771
1019,"112 East 96th Street, New York City",Manhattan,"(40.785984549999995, -73.95178873100001)",7578467970
1020,"224 East 125th Street, New York City",Manhattan,"(40.803018449999996, -73.9348516)",5161751673
1021,"104 West 136th Street, New York City",Manhattan,"(40.81484215, -73.94114315559167)",4205440399
1022,"630 Academy Street, New York City",Manhattan,"(40.865539866666666, -73.92461773333333)",42437921
1030,"175 Clinton Street, New York City",Manhattan,"(40.7156571, -73.9871261)",7465349817
1064,"270 Greenwich Street, New York City",Manhattan,"(40.7156112, -74.0117376)",5812723033
1095,"Varick Street between Watts Street &
Broome Street, New York City",Manhattan,"(40.724082, -74.006416)",4139510039
1096,"Varick Street between Watts Street &
Broome Street, New York City",Manhattan,"(40.724082, -74.006416)",4139510039
1097,"Hudson Street between Canal Street &
Broome Street, New York City",Manhattan,"(40.724262, -74.007545)",4602429326
1098,"Hudson Street between Canal Street &
Broome Street, New York City",Manhattan,"(40.724262, -74.007545)",4602429326
1121,"251 Dyckman Street, New York City",Manhattan,"(40.8665532, -73.9282148)",5490791421
1131,"Division Street between Market &
Forsyth Street, New York City",Manhattan,"(40.714231, -73.994227)",6369613300
1132,"Division Street between Market &
Forsyth Street, New York City",Manhattan,"(40.714231, -73.994227)",6369613300
1152,"95 Nagle Avenue, New York City",Manhattan,"(40.860354, -73.92787133333333)",42443522
1153,"185 Wadsworth Avenue, New York City",Manhattan,"(40.8505179, -73.93397233015085)",42449639
1154,"586 W 177th Street, New York City",Manhattan,"(40.846085, -73.93540295399278)",5403873781
1162,"116 West 11th Street, New York City",Manhattan,"(40.7357033, -73.9992718)",42430247
1163,"610 East 12th Street, New York City",Manhattan,"(40.72763415, -73.97843592695241)",4502505659
1164,"440 West 53rd Street, New York City",Manhattan,"(40.765812600000004, -73.98938811404098)",6534229347
1165,"2005 Madison Avenue, New York City",Manhattan,"(40.8069766, -73.93861144899485)",589928041
1166,"219 East 109th Street, New York City",Manhattan,"(40.7932116, -73.9420644195003)",6918710133
1170,"499 West 133rd Street, New York City",Manhattan,"(40.81769235, -73.952494)",5539546683
1171,"222 West 134th Street, New York City",Manhattan,"(40.8149449, -73.94547102226522)",5401664201
1172,"250 W 127th Street, New York City",Manhattan,"(40.810538199999996, -73.94854955780184)",5481907291
1173,"123 Morningside Drive, New York City",Manhattan,"(40.8106655, -73.9574934)",6791440548
1174,"1615 Madison Avenue, New York City",Manhattan,"(40.795029650000004, -73.94769675252839)",6256723748
1175,"41 West 117th Street, New York City",Manhattan,"(40.8024364, -73.9482911)",7004411490
1176,"20 West 112th Street, New York City",Manhattan,"(40.79843, -73.9493988)",6223478819
1194,"1652 Amsterdam Avenue, New York City",Manhattan,"(40.823278200000004, -73.9494229018792)",42438292
1202,"735 West End Avenue, New York City",Manhattan,"(40.7951176, -73.97378314548189)",4205805397
1212,"1700 3rd Avenue, New York City",Manhattan,"(40.7851696, -73.9499962)",7058672149
1213,"419 East 66th Street, New York City",Manhattan,"(40.763753699999995, -73.95775921169535)",42447237
1257,"1365 Saint Nicholas Avenue, New York City",Manhattan,"(40.8478974, -73.9349946)",595473201
1260,"205 East 59th Street, New York City",Manhattan,"(40.7615473, -73.9661619)",6186989597
1299,"4650 Broadway, New York City",Manhattan,"(40.8484382, -73.9376339)",595473330
1300,"4600 Broadway, New York City",Manhattan,"(40.86093735, -73.93006017519886)",42449442
1301,"4306 Broadway, New York City",Manhattan,"(40.8515945, -73.9347991)",5549743261
1302,"1422 St. Nicholas Avenue, New York City",Manhattan,"(40.8494627, -73.9334026)",5403873761
1303,"648 & 650 West 181st Street, New York City",Manhattan,"(40.849862, -73.93524483333333)",4215760965
1304,"1326 & 1328 St. Nicholas Avenue, New York City",Manhattan,"(40.84630833333333, -73.93580466666667)",5403873779
1310,"288 Delancey Street, New York City",Manhattan,"(40.7165947, -73.9794144)",7115850096
1311,"525 East Houston Street, New York City",Manhattan,"(40.7184781, -73.97618988118472)",5174909926
1312,"273 Bowery, New York City",Manhattan,"(40.723484363636366, -73.99273209090909)",4202950103
1313,"1204 St. Nicholas Avenue, New York City",Manhattan,"(40.8424511, -73.9385155)",2499757466
1314,"465 West 167th Street, New York City",Manhattan,"(40.839031, -73.9367133)",6836035571
1315,"3959 Broadway, New York City",Manhattan,"(40.83975585, -73.94144801487107)",42428973
1316,"3864 Broadway, New York City",Manhattan,"(40.8366451, -73.9426707)",561035376
1317,"3635 Broadway, New York City",Manhattan,"(40.8294639, -73.9485652)",42428944
1318,"3584 Broadway, New York City",Manhattan,"(40.8278486, -73.9490788)",561035363
1324,"3240 Broadway, New York City",Manhattan,"(40.8168083, -73.9569959)",6198320765
1325,"3150 Broadway, New York City",Manhattan,"(40.813886499999995, -73.95878071529928)",7598688541
1326,"1315 Amsterdam Avenue, New York City",Manhattan,"(40.8124355, -73.95629600805594)",6993051347
1327,"1315 Amsterdam Avenue, New York City",Manhattan,"(40.8124355, -73.95629600805594)",6993051347
