Date,Service Category,Program Area,Program Type,Provider,Program Site Name,Borough,Street Address,City,State,Postcode,Latitude,Longitude,Community Board,Community Name,Council District,Census Tract 2010,NDA,NTA,BIN,BBL,Location,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
06/01/2019,Family Support,CSBG,Seniors,"Grand Street Settlement, Inc.",GSS Baruch Elders Service Team NORC,Manhattan,72 Columbia Street,New York,NY,10002,40.71701,-73.98027,Manhattan CD 003,Lower East Side,Council District 002 Manhattan,1002,Manhattan Neighborhood Development Area 003,MN28,1078043,1003230001,POINT (-73.98027 40.71701),11723,70,4,50,4
06/01/2019,Immigrant Services,CSBG,High School,Coalition for Hispanic Family Services,Aviation High School,Queens,45-30 36 STREET,queens,NY,11101,40.74358,-73.92922,Queens CD 002,Hunters Point-Sunnyside-West Maspeth,Council District 026 Queens,,NDA Not-defined,NULL,4436685,4002260001,POINT (-73.92922 40.74358),16858,53,3,33,66
06/01/2019,Family Support,Beacon,Beacon,The Children's Aid Society,IS 219 NEW VENTURE SCHOOL (X219),Bronx,3630 THIRD AVENUE,BRONX,NY,10456,40.83351,-73.90449,NULL,NULL,Council District 16 Bronx,14701,NULL,BX01,2009611,2029250001,POINT (-73.90449 40.83351),10934,34,5,42,25
06/01/2019,Educational Services,Literacy and Immigrant Services,Adult Literacy - BENL/ESOL (Discretionary),"The Door-A Center of Alternatives, Inc",Bronx Youth Center,Bronx,424 East 147th Street,Bronx,NY,10455,40.81434,-73.91776,Bronx CD 001,Mott Haven-Port Morris,Council District 008 Manhattan,43,Bronx Neighborhood Development Area 001,BX39,2000506,2022910012,POINT (-73.91776 40.81434),10933,49,5,35,23
06/01/2019,Family Support,CSBG,Seniors,"Neighborhood Self-Help by Older Persons Projects, Inc.",Sedgwick Houses,Bronx,1553 University Ave,Bronx,NY,10453,40.84611,-73.92166,Bronx CD 005,University Heights-Morris Heights,Council District 016 Bronx,20501,Bronx Neighborhood Development Area 005,BX36,2092105,2028770001,POINT (-73.92166 40.84611),10931,6,5,42,29
06/01/2019,Educational Services,CSBG,High School,"Casita Maria, Inc.","Casita Maria, Inc.",Bronx,928 Simpson Street,Bronx,NY,10459,40.82058,-73.89313,Bronx CD 002,Hunts Point,Council District 017 Bronx,89,Bronx Neighborhood Development Area 002,BX27,2116211,2027230033,POINT (-73.89313000000001 40.82058),10937,8,5,43,24
06/01/2019,Educational Services,SYEP,SYEP School-Based,HANAC INC,Bronxdale High School,Bronx,925 astor Ave,Bronx,NY,10469,40.85966,-73.86101,Bronx CD 011,Bronxdale,Council District 013 Bronx,324,Bronx Neighborhood Development Area 011,BX07,2050179,2043580001,POINT (-73.86101 40.85966),11607,59,5,12,32
06/01/2019,Family Support,Beacon,Beacon,"United Activities Unlimited, Inc.",PS 18,NULL,221 BROADWAY,STATEN ISLAND,NY,10310,40.63672,-74.11695,NULL,NULL,NULL,,NULL,NULL,,,POINT (-74.11695 40.63672),10697,4,1,13,74
06/01/2019,Educational Services,CSBG,High School,"Sauti Yetu Center for African Women, Inc.",Sauti Yetu,Bronx,2417 3rd Avenue,Bronx,NY,10451,40.80849,-73.93066,Bronx CD 001,Mott Haven-Port Morris,Council District 008 Manhattan,51,Bronx Neighborhood Development Area 001,BX39,2000784,2023190100,POINT (-73.93066 40.80849),10932,49,5,35,23
06/01/2019,Educational Services,Literacy and Immigrant Services,Adult Literacy - ABE/HSE (Discretionary),Urban Health Plan Inc,Project H.O.P.E.,Bronx,854 Hunts Point Avenue,Bronx,NY,10474,40.8181,-73.88842,Bronx CD 002,Hunts Point,Council District 017 Bronx,11502,Bronx Neighborhood Development Area 002,BX27,2006432,2027620037,POINT (-73.88842 40.8181),12343,8,5,43,24
